"","abundance"
"Myrcia linearifolia",6.71557534463668
"Struthanthus/Psittacanthus spc",2.86886171457303
"Myrcia pinifolia",2.11484779980519
"Syzygium cumini",1.76682581248214
"Miconia stenostachya",1.07757292490285
"Blepharocalyx salicifolius",0.738314332517684
"Miconia leucocarpa",0.71005041453057
"Stryphnodendron spc",0.631593644319673
"Rubus urticifolius",0.569503391590862
"Leandra polystachya",0.539979568396554
"Matayba guianensis",0.492549538082922
"Tapirira guianensis",0.454451719102568
"Eucalyptus spc",0.403408251161243
"Guapira graciliflora",0.355341085080746
"Miconia hirtella",0.343378503005016
"Myrcia guianensis",0.317645751551142
"Richeria grandis",0.30691238398397
"Dumortiera hirsuta",0.226103758242563
"Myrsine spc",0.187808854264432
"Sapindaceae spc",0.159527252480959
